starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 08 00:21:42 2017	1499484102	0	358	358	357
Sat Jul 08 00:21:33 2017	1499484093	0	358	358	358
Sat Jul 08 00:21:34 2017	1499484094	0	358	358	358
Sat Jul 08 00:21:30 2017	1499484090	0	358	358	358
Sat Jul 08 00:21:40 2017	1499484100	0	358	358	358
Sat Jul 08 00:21:37 2017	1499484097	0	358	358	358
Sat Jul 08 00:21:41 2017	1499484101	0	358	358	358
Sat Jul 08 00:21:35 2017	1499484095	0	358	359	358
Sat Jul 08 00:21:34 2017	1499484094	0	359	359	358
Sat Jul 08 00:21:35 2017	1499484095	0	359	359	358
Sat Jul 08 00:21:39 2017	1499484099	0	359	359	358
Sat Jul 08 00:21:36 2017	1499484096	0	359	359	358
Sat Jul 08 00:21:33 2017	1499484093	0	359	359	359
Sat Jul 08 00:21:34 2017	1499484094	0	359	359	359
Sat Jul 08 00:21:42 2017	1499484102	0	359	359	359
Sat Jul 08 00:21:37 2017	1499484097	0	359	359	359
Sat Jul 08 00:21:31 2017	1499484091	0	360	360	359
Sat Jul 08 00:21:39 2017	1499484099	0	360	360	359
Sat Jul 08 00:21:29 2017	1499484089	0	360	360	359
Sat Jul 08 00:21:38 2017	1499484098	0	360	360	359
Sat Jul 08 00:21:31 2017	1499484091	0	360	360	360
Sat Jul 08 00:21:36 2017	1499484096	0	360	360	360
Sat Jul 08 00:21:37 2017	1499484097	0	360	360	360
Sat Jul 08 00:21:32 2017	1499484092	0	360	360	360
Sat Jul 08 00:21:33 2017	1499484093	0	360	360	360
Sat Jul 08 00:21:39 2017	1499484099	0	360	360	360
Sat Jul 08 00:21:29 2017	1499484089	0	360	361	360
Sat Jul 08 00:21:41 2017	1499484101	0	361	361	360
Sat Jul 08 00:21:29 2017	1499484089	0	361	361	360
Sat Jul 08 00:21:33 2017	1499484093	0	361	361	360
Sat Jul 08 00:21:38 2017	1499484098	0	361	361	360
Sat Jul 08 00:21:29 2017	1499484089	0	361	361	360
Sat Jul 08 00:21:40 2017	1499484100	0	361	361	361
Sat Jul 08 00:21:31 2017	1499484091	0	361	361	361
Sat Jul 08 00:21:38 2017	1499484098	0	361	361	361
Sat Jul 08 00:21:39 2017	1499484099	0	361	361	361
Sat Jul 08 00:21:39 2017	1499484099	0	361	361	361
Sat Jul 08 00:21:41 2017	1499484101	0	361	361	361
Sat Jul 08 00:21:32 2017	1499484092	0	362	362	361
Sat Jul 08 00:21:39 2017	1499484099	0	362	362	362
Sat Jul 08 00:21:29 2017	1499484089	0	362	363	362
Sat Jul 08 00:21:40 2017	1499484100	0	363	363	362
Sat Jul 08 00:21:28 2017	1499484088	1	362	363	361
Sat Jul 08 00:21:29 2017	1499484089	0	365	365	364
Sat Jul 08 00:21:30 2017	1499484090	0	368	368	368
Sat Jul 08 00:21:31 2017	1499484091	0	369	369	369
Sat Jul 08 00:21:30 2017	1499484090	0	384	384	384
Sat Jul 08 00:21:30 2017	1499484090	0	385	386	385
Sat Jul 08 00:21:31 2017	1499484091	0	386	386	386
Sat Jul 08 00:21:34 2017	1499484094	0	390	390	389
Sat Jul 08 00:21:33 2017	1499484093	0	390	390	389
Sat Jul 08 00:21:28 2017	1499484088	0	392	392	391
Sat Jul 08 00:21:28 2017	1499484088	0	392	392	391
Sat Jul 08 00:21:30 2017	1499484090	0	400	400	400
Sat Jul 08 00:21:32 2017	1499484092	0	411	411	411
Sat Jul 08 00:21:35 2017	1499484095	0	412	412	412
Sat Jul 08 00:21:37 2017	1499484097	0	413	413	412
Sat Jul 08 00:21:38 2017	1499484098	0	413	413	413
Sat Jul 08 00:21:35 2017	1499484095	0	413	413	413
Sat Jul 08 00:21:36 2017	1499484096	0	413	413	413
Sat Jul 08 00:21:35 2017	1499484095	0	414	414	413
Sat Jul 08 00:21:33 2017	1499484093	0	414	414	413
Sat Jul 08 00:21:42 2017	1499484102	0	414	414	414
Sat Jul 08 00:21:41 2017	1499484101	0	414	415	414
Sat Jul 08 00:21:40 2017	1499484100	0	416	416	415
Sat Jul 08 00:21:32 2017	1499484092	0	416	416	415
Sat Jul 08 00:21:39 2017	1499484099	0	416	416	415
Sat Jul 08 00:21:42 2017	1499484102	0	416	416	416
Sat Jul 08 00:21:36 2017	1499484096	0	417	417	416
Sat Jul 08 00:21:28 2017	1499484088	0	417	417	416
Sat Jul 08 00:21:41 2017	1499484101	0	417	417	417
Sat Jul 08 00:21:37 2017	1499484097	0	417	417	417
Sat Jul 08 00:21:32 2017	1499484092	0	418	418	417
Sat Jul 08 00:21:34 2017	1499484094	0	418	418	417
Sat Jul 08 00:21:35 2017	1499484095	0	418	418	417
Sat Jul 08 00:21:32 2017	1499484092	0	418	418	418
Sat Jul 08 00:21:42 2017	1499484102	0	418	418	418
Sat Jul 08 00:21:36 2017	1499484096	0	418	418	418
Sat Jul 08 00:21:40 2017	1499484100	0	418	418	418
Sat Jul 08 00:21:31 2017	1499484091	0	419	419	418
Sat Jul 08 00:21:34 2017	1499484094	0	419	419	418
Sat Jul 08 00:21:41 2017	1499484101	0	419	419	418
Sat Jul 08 00:21:37 2017	1499484097	0	419	419	419
Sat Jul 08 00:21:38 2017	1499484098	0	419	419	419
Sat Jul 08 00:21:29 2017	1499484089	0	420	420	419
Sat Jul 08 00:21:37 2017	1499484097	0	420	420	419
Sat Jul 08 00:21:33 2017	1499484093	0	420	420	420
Sat Jul 08 00:21:29 2017	1499484089	0	420	420	420
Sat Jul 08 00:21:39 2017	1499484099	0	420	420	420
Sat Jul 08 00:21:31 2017	1499484091	0	421	421	421
Sat Jul 08 00:21:38 2017	1499484098	0	421	421	421
Sat Jul 08 00:21:28 2017	1499484088	0	421	421	421
Sat Jul 08 00:21:29 2017	1499484089	0	421	421	421
Sat Jul 08 00:21:40 2017	1499484100	0	422	422	421
Sat Jul 08 00:21:40 2017	1499484100	0	422	422	421
Sat Jul 08 00:21:39 2017	1499484099	0	422	423	422
Sat Jul 08 00:21:28 2017	1499484088	1	423	424	423
Sat Jul 08 00:21:30 2017	1499484090	0	426	426	426
Sat Jul 08 00:21:30 2017	1499484090	0	432	432	432
Sat Jul 08 00:21:30 2017	1499484090	0	439	439	439
Sat Jul 08 00:21:32 2017	1499484092	0	440	440	440
Sat Jul 08 00:21:35 2017	1499484095	0	441	441	441
Sat Jul 08 00:21:38 2017	1499484098	0	442	442	442
Sat Jul 08 00:21:36 2017	1499484096	0	443	443	443
Sat Jul 08 00:21:42 2017	1499484102	0	443	443	443
Sat Jul 08 00:21:35 2017	1499484095	0	443	444	443
Sat Jul 08 00:21:33 2017	1499484093	0	444	444	443
Sat Jul 08 00:21:38 2017	1499484098	0	444	444	443
Sat Jul 08 00:21:41 2017	1499484101	0	444	444	444
Sat Jul 08 00:21:42 2017	1499484102	0	444	444	444
Sat Jul 08 00:21:32 2017	1499484092	0	445	445	445
Sat Jul 08 00:21:39 2017	1499484099	0	445	445	445
Sat Jul 08 00:21:41 2017	1499484101	0	445	445	445
Sat Jul 08 00:21:35 2017	1499484095	0	446	446	445
Sat Jul 08 00:21:41 2017	1499484101	0	446	446	445
Sat Jul 08 00:21:36 2017	1499484096	0	446	446	445
Sat Jul 08 00:21:35 2017	1499484095	0	446	446	446
Sat Jul 08 00:21:34 2017	1499484094	0	447	447	446
Sat Jul 08 00:21:32 2017	1499484092	0	447	447	447
Sat Jul 08 00:21:37 2017	1499484097	0	447	447	447
Sat Jul 08 00:21:40 2017	1499484100	0	447	447	447
Sat Jul 08 00:21:42 2017	1499484102	0	447	447	447
Sat Jul 08 00:21:31 2017	1499484091	0	448	448	447
Sat Jul 08 00:21:41 2017	1499484101	0	448	448	447
Sat Jul 08 00:21:36 2017	1499484096	0	448	448	447
Sat Jul 08 00:21:37 2017	1499484097	0	448	448	448
Sat Jul 08 00:21:29 2017	1499484089	0	448	448	448
Sat Jul 08 00:21:32 2017	1499484092	0	448	448	448
Sat Jul 08 00:21:31 2017	1499484091	0	449	449	449
Sat Jul 08 00:21:34 2017	1499484094	0	449	449	449
Sat Jul 08 00:21:29 2017	1499484089	0	450	450	449
Sat Jul 08 00:21:33 2017	1499484093	0	450	450	449
Sat Jul 08 00:21:38 2017	1499484098	0	450	450	450
Sat Jul 08 00:21:29 2017	1499484089	0	450	450	450
Sat Jul 08 00:21:39 2017	1499484099	0	450	451	450
Sat Jul 08 00:21:40 2017	1499484100	0	451	451	450
Sat Jul 08 00:21:37 2017	1499484097	0	451	451	450
Sat Jul 08 00:21:34 2017	1499484094	0	451	451	450
Sat Jul 08 00:21:33 2017	1499484093	0	451	451	450
Sat Jul 08 00:21:31 2017	1499484091	0	451	451	451
Sat Jul 08 00:21:38 2017	1499484098	0	451	451	451
Sat Jul 08 00:21:40 2017	1499484100	0	451	451	451
Sat Jul 08 00:21:39 2017	1499484099	0	451	451	451
Sat Jul 08 00:21:29 2017	1499484089	0	454	454	453
Sat Jul 08 00:21:28 2017	1499484088	1	454	455	453
Sat Jul 08 00:21:30 2017	1499484090	0	462	462	462
Sat Jul 08 00:21:30 2017	1499484090	0	469	469	469
Sat Jul 08 00:21:30 2017	1499484090	0	472	472	472
Sat Jul 08 00:21:31 2017	1499484091	0	479	479	479
Sat Jul 08 00:21:33 2017	1499484093	0	480	480	480
Sat Jul 08 00:21:34 2017	1499484094	0	481	481	480
Sat Jul 08 00:21:28 2017	1499484088	1	484	484	483
Sat Jul 08 00:21:28 2017	1499484088	0	501	501	500
Sat Jul 08 00:21:28 2017	1499484088	0	503	503	503
