starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 08 00:22:13 2017	1499484133	1	86	86	85
Sat Jul 08 00:22:16 2017	1499484136	0	104	104	104
Sat Jul 08 00:22:23 2017	1499484143	0	106	106	105
Sat Jul 08 00:22:29 2017	1499484149	0	117	117	116
Sat Jul 08 00:22:19 2017	1499484139	0	118	118	118
Sat Jul 08 00:22:28 2017	1499484148	0	118	118	118
Sat Jul 08 00:22:29 2017	1499484149	0	119	119	118
Sat Jul 08 00:22:20 2017	1499484140	0	119	119	119
Sat Jul 08 00:22:14 2017	1499484134	0	119	119	119
Sat Jul 08 00:22:13 2017	1499484133	0	119	119	119
Sat Jul 08 00:22:18 2017	1499484138	0	120	120	120
Sat Jul 08 00:22:22 2017	1499484142	0	121	121	120
Sat Jul 08 00:22:18 2017	1499484138	0	121	121	120
Sat Jul 08 00:22:21 2017	1499484141	0	121	121	121
Sat Jul 08 00:22:25 2017	1499484145	0	121	121	121
Sat Jul 08 00:22:22 2017	1499484142	0	121	121	121
Sat Jul 08 00:22:19 2017	1499484139	0	121	121	121
Sat Jul 08 00:22:21 2017	1499484141	0	122	122	121
Sat Jul 08 00:22:26 2017	1499484146	0	122	122	121
Sat Jul 08 00:22:14 2017	1499484134	0	122	122	122
Sat Jul 08 00:22:22 2017	1499484142	0	123	123	122
Sat Jul 08 00:22:23 2017	1499484143	0	123	123	122
Sat Jul 08 00:22:18 2017	1499484138	0	123	123	122
Sat Jul 08 00:22:22 2017	1499484142	0	123	123	123
Sat Jul 08 00:22:28 2017	1499484148	0	123	123	123
Sat Jul 08 00:22:17 2017	1499484137	0	124	124	124
Sat Jul 08 00:22:27 2017	1499484147	0	125	126	125
Sat Jul 08 00:22:24 2017	1499484144	0	126	126	125
Sat Jul 08 00:22:19 2017	1499484139	0	127	127	126
Sat Jul 08 00:22:28 2017	1499484148	0	127	127	127
Sat Jul 08 00:22:24 2017	1499484144	0	127	127	126
Sat Jul 08 00:22:20 2017	1499484140	0	127	127	127
Sat Jul 08 00:22:27 2017	1499484147	0	128	128	127
Sat Jul 08 00:22:26 2017	1499484146	0	128	128	128
Sat Jul 08 00:22:14 2017	1499484134	0	128	128	128
Sat Jul 08 00:22:20 2017	1499484140	0	130	130	129
Sat Jul 08 00:22:17 2017	1499484137	0	130	130	130
Sat Jul 08 00:22:21 2017	1499484141	0	132	132	131
Sat Jul 08 00:22:15 2017	1499484135	0	137	137	137
Sat Jul 08 00:22:16 2017	1499484136	0	137	137	137
Sat Jul 08 00:22:15 2017	1499484135	0	138	138	138
Sat Jul 08 00:22:27 2017	1499484147	0	139	139	139
Sat Jul 08 00:22:16 2017	1499484136	0	140	140	140
Sat Jul 08 00:22:13 2017	1499484133	0	142	143	142
Sat Jul 08 00:22:24 2017	1499484144	0	144	144	144
Sat Jul 08 00:22:15 2017	1499484135	0	146	146	146
Sat Jul 08 00:22:25 2017	1499484145	0	146	146	146
Sat Jul 08 00:22:23 2017	1499484143	0	150	150	149
Sat Jul 08 00:22:17 2017	1499484137	0	150	150	150
Sat Jul 08 00:22:26 2017	1499484146	0	153	153	152
Sat Jul 08 00:22:25 2017	1499484145	0	155	155	155
Sat Jul 08 00:22:28 2017	1499484148	0	177	177	177
Sat Jul 08 00:22:19 2017	1499484139	0	178	178	177
Sat Jul 08 00:22:18 2017	1499484138	0	178	178	178
Sat Jul 08 00:22:22 2017	1499484142	0	178	178	178
Sat Jul 08 00:22:14 2017	1499484134	0	180	180	179
Sat Jul 08 00:22:14 2017	1499484134	0	180	180	180
Sat Jul 08 00:22:21 2017	1499484141	0	180	180	180
Sat Jul 08 00:22:22 2017	1499484142	0	181	181	180
Sat Jul 08 00:22:28 2017	1499484148	0	181	181	181
Sat Jul 08 00:22:18 2017	1499484138	0	182	182	181
Sat Jul 08 00:22:14 2017	1499484134	0	182	182	181
Sat Jul 08 00:22:19 2017	1499484139	0	182	182	182
Sat Jul 08 00:22:26 2017	1499484146	0	183	183	183
Sat Jul 08 00:22:21 2017	1499484141	0	183	183	183
Sat Jul 08 00:22:23 2017	1499484143	0	184	184	184
Sat Jul 08 00:22:25 2017	1499484145	0	185	185	185
Sat Jul 08 00:22:22 2017	1499484142	0	185	185	185
Sat Jul 08 00:22:19 2017	1499484139	0	186	186	186
Sat Jul 08 00:22:28 2017	1499484148	0	187	187	186
Sat Jul 08 00:22:29 2017	1499484149	0	187	187	187
Sat Jul 08 00:22:20 2017	1499484140	0	187	187	187
Sat Jul 08 00:22:20 2017	1499484140	0	188	188	188
Sat Jul 08 00:22:26 2017	1499484146	0	188	188	188
Sat Jul 08 00:22:17 2017	1499484137	0	189	189	189
Sat Jul 08 00:22:20 2017	1499484140	0	189	189	189
Sat Jul 08 00:22:29 2017	1499484149	0	190	190	190
Sat Jul 08 00:22:21 2017	1499484141	0	191	191	191
Sat Jul 08 00:22:17 2017	1499484137	0	200	201	200
Sat Jul 08 00:22:15 2017	1499484135	0	204	204	203
Sat Jul 08 00:22:15 2017	1499484135	0	205	205	205
Sat Jul 08 00:22:27 2017	1499484147	0	205	206	205
Sat Jul 08 00:22:28 2017	1499484148	0	206	206	205
Sat Jul 08 00:22:28 2017	1499484148	0	207	207	207
Sat Jul 08 00:22:22 2017	1499484142	0	207	207	207
Sat Jul 08 00:22:18 2017	1499484138	0	209	209	208
Sat Jul 08 00:22:22 2017	1499484142	0	209	209	208
Sat Jul 08 00:22:18 2017	1499484138	0	209	209	208
Sat Jul 08 00:22:23 2017	1499484143	0	209	209	208
Sat Jul 08 00:22:13 2017	1499484133	0	209	209	209
Sat Jul 08 00:22:20 2017	1499484140	0	209	209	209
Sat Jul 08 00:22:27 2017	1499484147	0	210	210	210
Sat Jul 08 00:22:26 2017	1499484146	0	210	210	210
Sat Jul 08 00:22:21 2017	1499484141	0	210	210	210
Sat Jul 08 00:22:24 2017	1499484144	0	211	211	210
Sat Jul 08 00:22:14 2017	1499484134	0	211	211	210
Sat Jul 08 00:22:29 2017	1499484149	0	212	212	211
Sat Jul 08 00:22:15 2017	1499484135	0	212	212	212
Sat Jul 08 00:22:14 2017	1499484134	0	213	213	213
Sat Jul 08 00:22:17 2017	1499484137	0	213	213	213
Sat Jul 08 00:22:24 2017	1499484144	0	214	214	214
Sat Jul 08 00:22:17 2017	1499484137	0	214	214	214
Sat Jul 08 00:22:18 2017	1499484138	0	214	214	214
Sat Jul 08 00:22:22 2017	1499484142	0	214	214	214
Sat Jul 08 00:22:25 2017	1499484145	0	215	215	214
Sat Jul 08 00:22:19 2017	1499484139	0	215	215	214
Sat Jul 08 00:22:28 2017	1499484148	0	215	215	215
Sat Jul 08 00:22:16 2017	1499484136	0	215	215	215
Sat Jul 08 00:22:28 2017	1499484148	0	215	215	215
Sat Jul 08 00:22:19 2017	1499484139	0	216	216	215
Sat Jul 08 00:22:18 2017	1499484138	0	216	216	215
Sat Jul 08 00:22:23 2017	1499484143	0	216	216	216
Sat Jul 08 00:22:14 2017	1499484134	0	217	217	216
Sat Jul 08 00:22:23 2017	1499484143	0	217	217	216
Sat Jul 08 00:22:19 2017	1499484139	0	218	218	217
Sat Jul 08 00:22:13 2017	1499484133	0	218	218	218
Sat Jul 08 00:22:19 2017	1499484139	0	218	219	218
Sat Jul 08 00:22:26 2017	1499484146	0	219	219	218
Sat Jul 08 00:22:25 2017	1499484145	0	220	220	220
Sat Jul 08 00:22:24 2017	1499484144	0	221	221	220
Sat Jul 08 00:22:27 2017	1499484147	0	221	221	220
Sat Jul 08 00:22:21 2017	1499484141	0	221	221	221
Sat Jul 08 00:22:16 2017	1499484136	0	221	221	221
Sat Jul 08 00:22:24 2017	1499484144	0	222	222	220
Sat Jul 08 00:22:25 2017	1499484145	0	223	223	223
Sat Jul 08 00:22:21 2017	1499484141	0	227	227	226
Sat Jul 08 00:22:25 2017	1499484145	0	227	227	227
Sat Jul 08 00:22:20 2017	1499484140	0	227	227	227
Sat Jul 08 00:22:17 2017	1499484137	0	227	227	227
Sat Jul 08 00:22:20 2017	1499484140	0	234	234	233
Sat Jul 08 00:22:27 2017	1499484147	0	235	235	234
