starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 08 00:30:01 2017	1499484601	0	1	1	1
Sat Jul 08 00:30:01 2017	1499484601	0	1	1	1
Sat Jul 08 00:30:01 2017	1499484601	0	1	1	1
Sat Jul 08 00:30:01 2017	1499484601	0	1	1	1
Sat Jul 08 00:30:01 2017	1499484601	0	1	1	1
Sat Jul 08 00:30:01 2017	1499484601	0	1	1	1
Sat Jul 08 00:30:01 2017	1499484601	0	1	1	1
Sat Jul 08 00:30:01 2017	1499484601	0	1	1	1
Sat Jul 08 00:30:01 2017	1499484601	0	1	1	1
Sat Jul 08 00:30:01 2017	1499484601	0	1	1	1
Sat Jul 08 00:30:01 2017	1499484601	0	1	1	1
Sat Jul 08 00:30:01 2017	1499484601	0	1	1	1
Sat Jul 08 00:30:01 2017	1499484601	0	1	1	1
Sat Jul 08 00:30:01 2017	1499484601	0	1	1	1
Sat Jul 08 00:30:01 2017	1499484601	0	1	1	1
Sat Jul 08 00:30:01 2017	1499484601	0	1	1	1
Sat Jul 08 00:30:01 2017	1499484601	0	1	1	1
Sat Jul 08 00:30:01 2017	1499484601	0	1	1	1
Sat Jul 08 00:30:01 2017	1499484601	0	1	1	1
Sat Jul 08 00:30:01 2017	1499484601	0	1	1	1
Sat Jul 08 00:30:01 2017	1499484601	0	1	1	1
Sat Jul 08 00:30:01 2017	1499484601	0	2	2	1
Sat Jul 08 00:30:01 2017	1499484601	0	2	2	2
Sat Jul 08 00:30:01 2017	1499484601	0	2	2	2
Sat Jul 08 00:30:01 2017	1499484601	0	2	2	2
Sat Jul 08 00:30:01 2017	1499484601	0	2	2	2
Sat Jul 08 00:30:01 2017	1499484601	0	2	2	2
Sat Jul 08 00:30:01 2017	1499484601	0	2	2	2
Sat Jul 08 00:30:01 2017	1499484601	0	2	2	2
Sat Jul 08 00:30:01 2017	1499484601	0	2	2	2
Sat Jul 08 00:30:01 2017	1499484601	0	2	2	2
Sat Jul 08 00:30:01 2017	1499484601	0	2	2	2
Sat Jul 08 00:30:01 2017	1499484601	0	2	2	2
Sat Jul 08 00:30:01 2017	1499484601	0	2	2	2
Sat Jul 08 00:30:01 2017	1499484601	0	2	2	2
Sat Jul 08 00:30:01 2017	1499484601	0	2	2	2
Sat Jul 08 00:30:01 2017	1499484601	0	2	2	2
