starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 08 02:35:58 2017	1499492158	0	14	14	13
Sat Jul 08 02:35:58 2017	1499492158	0	14	14	13
Sat Jul 08 02:35:58 2017	1499492158	0	14	14	14
Sat Jul 08 02:35:58 2017	1499492158	0	14	14	14
Sat Jul 08 02:35:58 2017	1499492158	0	14	14	14
Sat Jul 08 02:35:58 2017	1499492158	0	14	14	14
Sat Jul 08 02:35:59 2017	1499492159	0	14	14	14
Sat Jul 08 02:35:58 2017	1499492158	0	14	14	14
Sat Jul 08 02:35:59 2017	1499492159	0	14	14	14
Sat Jul 08 02:35:58 2017	1499492158	0	14	14	14
Sat Jul 08 02:35:58 2017	1499492158	0	14	14	14
Sat Jul 08 02:35:59 2017	1499492159	0	14	14	14
Sat Jul 08 02:35:58 2017	1499492158	0	14	14	14
Sat Jul 08 02:35:58 2017	1499492158	0	14	14	14
Sat Jul 08 02:35:58 2017	1499492158	0	14	14	14
Sat Jul 08 02:35:58 2017	1499492158	0	14	14	14
Sat Jul 08 02:35:58 2017	1499492158	0	14	15	14
Sat Jul 08 02:35:58 2017	1499492158	0	15	15	14
Sat Jul 08 02:35:59 2017	1499492159	0	15	15	14
Sat Jul 08 02:35:58 2017	1499492158	0	15	15	14
Sat Jul 08 02:35:58 2017	1499492158	0	15	15	14
Sat Jul 08 02:35:58 2017	1499492158	0	15	15	14
Sat Jul 08 02:35:58 2017	1499492158	0	15	15	15
Sat Jul 08 02:35:58 2017	1499492158	0	15	15	15
Sat Jul 08 02:35:58 2017	1499492158	0	15	15	15
Sat Jul 08 02:35:58 2017	1499492158	0	15	15	14
Sat Jul 08 02:35:58 2017	1499492158	0	15	15	15
Sat Jul 08 02:35:58 2017	1499492158	0	15	15	15
Sat Jul 08 02:35:58 2017	1499492158	0	15	15	15
Sat Jul 08 02:35:58 2017	1499492158	1	14	15	14
Sat Jul 08 02:35:59 2017	1499492159	0	15	15	15
Sat Jul 08 02:35:58 2017	1499492158	0	15	15	15
Sat Jul 08 02:35:58 2017	1499492158	0	15	15	15
Sat Jul 08 02:35:58 2017	1499492158	0	15	15	15
Sat Jul 08 02:35:59 2017	1499492159	0	15	15	15
Sat Jul 08 02:35:58 2017	1499492158	0	15	15	15
Sat Jul 08 02:35:59 2017	1499492159	0	15	15	15
Sat Jul 08 02:35:58 2017	1499492158	0	15	15	15
Sat Jul 08 02:35:59 2017	1499492159	0	15	15	15
Sat Jul 08 02:35:59 2017	1499492159	0	16	16	15
Sat Jul 08 02:35:58 2017	1499492158	0	16	16	15
Sat Jul 08 02:35:58 2017	1499492158	0	16	16	16
Sat Jul 08 02:35:58 2017	1499492158	0	16	16	16
Sat Jul 08 02:35:58 2017	1499492158	0	16	16	16
Sat Jul 08 02:35:58 2017	1499492158	0	16	16	16
Sat Jul 08 02:35:58 2017	1499492158	0	16	16	16
Sat Jul 08 02:35:58 2017	1499492158	0	16	16	16
Sat Jul 08 02:35:59 2017	1499492159	0	16	16	16
Sat Jul 08 02:35:58 2017	1499492158	0	16	16	16
Sat Jul 08 02:35:58 2017	1499492158	0	16	16	16
Sat Jul 08 02:35:58 2017	1499492158	0	16	16	16
Sat Jul 08 02:35:58 2017	1499492158	0	16	16	16
Sat Jul 08 02:35:59 2017	1499492159	0	16	16	16
Sat Jul 08 02:35:58 2017	1499492158	0	16	16	16
Sat Jul 08 02:35:58 2017	1499492158	0	16	16	16
Sat Jul 08 02:35:58 2017	1499492158	0	16	16	16
Sat Jul 08 02:35:59 2017	1499492159	0	16	16	16
Sat Jul 08 02:35:58 2017	1499492158	0	16	16	16
Sat Jul 08 02:35:58 2017	1499492158	0	16	16	16
Sat Jul 08 02:35:59 2017	1499492159	0	16	16	16
Sat Jul 08 02:35:58 2017	1499492158	0	16	16	16
Sat Jul 08 02:35:58 2017	1499492158	0	16	16	16
Sat Jul 08 02:35:59 2017	1499492159	0	16	16	16
Sat Jul 08 02:35:59 2017	1499492159	0	16	16	16
Sat Jul 08 02:35:58 2017	1499492158	0	17	17	16
Sat Jul 08 02:35:58 2017	1499492158	0	17	17	17
Sat Jul 08 02:35:58 2017	1499492158	0	17	17	16
Sat Jul 08 02:35:58 2017	1499492158	0	17	17	17
Sat Jul 08 02:35:58 2017	1499492158	0	17	17	17
Sat Jul 08 02:35:58 2017	1499492158	0	17	17	17
Sat Jul 08 02:35:58 2017	1499492158	0	17	17	17
Sat Jul 08 02:35:58 2017	1499492158	0	17	17	17
Sat Jul 08 02:35:58 2017	1499492158	0	17	17	17
