starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 08 00:20:51 2017	1499484051	0	340	340	335
Sat Jul 08 00:20:41 2017	1499484041	0	340	340	335
Sat Jul 08 00:20:38 2017	1499484038	0	340	340	334
Sat Jul 08 00:20:49 2017	1499484049	0	340	340	334
Sat Jul 08 00:20:41 2017	1499484041	0	341	341	336
Sat Jul 08 00:20:50 2017	1499484050	0	341	341	334
Sat Jul 08 00:20:53 2017	1499484053	0	341	341	336
Sat Jul 08 00:20:41 2017	1499484041	0	342	342	337
Sat Jul 08 00:20:40 2017	1499484040	0	342	342	336
Sat Jul 08 00:20:54 2017	1499484054	0	343	343	337
Sat Jul 08 00:20:55 2017	1499484055	0	343	343	337
Sat Jul 08 00:20:47 2017	1499484047	0	344	344	338
Sat Jul 08 00:20:40 2017	1499484040	0	345	345	338
Sat Jul 08 00:20:54 2017	1499484054	0	345	345	339
Sat Jul 08 00:20:47 2017	1499484047	0	345	345	340
Sat Jul 08 00:20:46 2017	1499484046	0	345	345	339
Sat Jul 08 00:20:42 2017	1499484042	0	346	346	341
Sat Jul 08 00:20:54 2017	1499484054	0	346	346	341
Sat Jul 08 00:20:54 2017	1499484054	0	347	347	340
Sat Jul 08 00:20:43 2017	1499484043	0	347	347	342
Sat Jul 08 00:20:40 2017	1499484040	0	348	348	343
Sat Jul 08 00:20:49 2017	1499484049	0	348	348	341
Sat Jul 08 00:20:55 2017	1499484055	0	348	348	342
Sat Jul 08 00:20:49 2017	1499484049	0	348	348	343
Sat Jul 08 00:20:46 2017	1499484046	0	348	348	343
Sat Jul 08 00:20:48 2017	1499484048	0	349	349	345
Sat Jul 08 00:20:49 2017	1499484049	0	350	350	344
Sat Jul 08 00:20:44 2017	1499484044	0	350	351	314
Sat Jul 08 00:20:39 2017	1499484039	0	351	351	345
Sat Jul 08 00:20:42 2017	1499484042	0	351	351	346
Sat Jul 08 00:20:44 2017	1499484044	0	351	351	344
Sat Jul 08 00:20:42 2017	1499484042	0	352	352	346
Sat Jul 08 00:20:42 2017	1499484042	0	352	352	346
Sat Jul 08 00:20:48 2017	1499484048	0	352	352	347
Sat Jul 08 00:20:43 2017	1499484043	0	352	352	347
Sat Jul 08 00:20:39 2017	1499484039	0	352	352	346
Sat Jul 08 00:20:55 2017	1499484055	0	352	352	346
Sat Jul 08 00:20:40 2017	1499484040	0	353	353	346
Sat Jul 08 00:20:44 2017	1499484044	0	353	353	347
Sat Jul 08 00:20:39 2017	1499484039	0	353	353	347
Sat Jul 08 00:20:40 2017	1499484040	0	354	354	349
Sat Jul 08 00:20:41 2017	1499484041	0	354	354	347
Sat Jul 08 00:20:54 2017	1499484054	0	354	354	348
Sat Jul 08 00:20:39 2017	1499484039	0	354	354	349
Sat Jul 08 00:20:39 2017	1499484039	0	354	355	349
